comments,cleaned_comments
"MAFia Sawit..

Dialah  yg akan mgHancurkan negeri ini",mafia sawit mghancurkan negeri
"Gapaa bang kan ""sawot pohon juga sama sama ada daunnya"" 😹",gapaa sawot pohon daun
"Qta Smua Pindah aja ke MALAYSia

Udah muakk,,  ama negeri ini",qta smua pindah malaysia muakk ama negeri
"""jangan takut deforestasi”
- si penyepong sawit bin  deforestasi the first",takut deforestasi penyepong sawit bin deforestasi first
Dia sendiri dalang nya😂 semua akan dipertanggungjawabkan di hadapan Allah nanti,dalang dipertanggungjawabkan hadap allah
"Dulu bali dihujat krn memagari pohon dengan saput poleng (hitam putih) dikira percaya musrik. 

Saat ini terjadilah apa yang sebenarnya ditakutkan para leluhur terdahulu. Hmm 

Semoga Indonesia baik-baik saja krn bagaimanapun yang berbahaya bukan makhluk halusnya tapi manusia itu sendiri krn simbol hitam putih melambangkan sifat manusia itu sendiri ada yang baik dan ada juga yang jahat",bal hujat krn pagar pohon saput poleng hitam putih percaya musrik takut leluhur moga indonesia baikbaik krn bahaya makhluk halus manusia krn simbol hitam putih melambang sifat manusia jahat
Mindahin bencana ke papua,mindahin bencana papua
Bangun oi korup tu yg di atasi😂😂😂,bangun korup atas
"Next election, mohon warga indonesia memilih president dan wakil rakyat yg selayaknya, bukan  pemerintah yg menganggap negara ini dia yg punya, kerana itu lah setiap tindakkannya tidak memikirkan hal rakyat, hanya fikir keuntungan diri sendiri semata-mata.. Kesian melihat nasib rakyat yg diabaikan, tidak dipedulikan..",next election mohon warga indonesia pilih president wakil rakyat layak perintah anggap negara rana tindak pikir rakyat fikir untung sematamata kesi nasib rakyat abai peduli
"pohon sagu dibabat habis, dipaksa makan nasi😊",pohon sagu babat habis paksa makan nasi
"Sblmnya suka mbangun infrastruktur dng terjerat asing, yg ini suka buat sawit untuk perusahaannya sendiri.",sblmnya suka mbangun infrastruktur dng jerat asing suka sawit usaha
dalah waktunya pasrah bentar lagi nkri harga sawit  nangisnya ajalah cpe tauj depan gak usah milih presiden sawit lagi cpek rusak bubar aja bentar lagi🎉,dalah pasrah bentar nkri harga sawit nang cpe tauj milih presiden sawit cpek rusak bubar bentar
Ayo rakyat papua dukung program prabowo 😂😂😂,ayo rakyat papua dukung program prabowo
Lah diduga? Bukannya rahasia umum yah itu? Eh malah fakta gak sih?,duga rahasia fakta
Sio jgn k... Cukup gempa sj tra usah tambah2 banjir k itu tolong😩,sio jgn gempa tra banjir tolong
Si longorr,longorr
"Mungkin untuk mempercepat Indonesia bubar
😮😮😮😮😮",cepat indonesia bubar
Ketua sama wakil sama2 oon,ketua wakil oon
Ya Allah 2029 masih lama ya ogn bgt cepet ganti presiden,allah ogn cepet ganti presiden
top negara sawit terbesar di dunia,top negara sawit besar dunia
Ini d tegur Allah malah nantangin..👏👏,tegur allah nantangin
Tanam sawit buat bbm dan minyak goreng bukannya makin mura malh makin mahal 😂,tanam sawit bbm minyak goreng mura malh mahal
"masih pada bangga punya Prabowo? mati empati nya dia 
aneh sumpah",bangga prabowo mati empati aneh sumpah
"Kalau pemakzulan Gibran tolong satu paket sama Prabowo, sama-sama gak guna.",makzul gibran tolong paket prabowo samasama
bisa gak sih masa jabatannya setengah aja,jabat
Rakyat bukan gak tau cuma gak brani..,rakyat tau brani
BINTANG KEJORA,bintang kejora
"Apa the heck! Mengulang kesalahan itu mah, aaakkhhh gimana sih gemoyyy 😢",heck ulang salah mah aaakkhhh gimana gemoyyy
"JELAS IDIOTNYA, UDAH ADA CONTOH BENCANA NYA EH MALAH PENGEN BIKIN BENCANA LAIN LAGI 😂",idiot contoh bencana ken bencana
lama lama seluruh lahan jadi sawit,lahan sawit
Please saudara²ku di papua sana jangan mau dikasih bujuk rayu apapun sama pemerintah. Jangan sampai kalian mengalami apa yg telah terjadi di sumatera sana. 😢,please saudara papua kasih bujuk rayu apa perintah alami sumatera
Menarik niyy...😊,tarik niyy
"sy nyerah sama semua gebrakanya petinggi"" negri ini tuhan",nyerah gebrakanya petinggi negri tuhan
pantes bio solar sulit bet tapi truk di papua menumpuk antri😂 ini alasannya prabowo mungkin,pantes bio solar sulit bet truk papua tumpuk antri alas prabowo
Aneh presiden adalah Tentar tapi kagak bisa baca situasi dan sensitif. Jangan2 dalang 9 naga itu dia sendiri,aneh presiden tentar kagak baca situasi sensitif dalang naga
Gak apa² papua itu dataran tinggi jadi gak akan banjir,papua datar banjir
Sawit sama hutan sama saja ada tumbuhan sama daun😊,sawit hutan tumbuh daun
"Si wowo bukannya diberesin dulu sumatra malah bikin baru lagi di papua, gebleg emang",wowo resin sumatra papua gebleg
wowowo prabowo adalah penyevong sawit yang mengila setiap melihat tanah nganggur,wowowo prabowo penyevong sawit kila tanah nganggur
"Makin ga jelas konoha.. 
Itu papua milik suku asli sana woy..
Main tanem tanem..
Gila",konoha papua milik suku woy main tanem tanem gila
"Ide yang sangat bagus sumbar sudah ga bisa di tanamin sawit, saat nya pindah ke papua, cuan banyak ini mah, nanti kalo papua juga banjir, pindah kemana lagi yaa??😂",ide bagus sumbar tanamin sawit pindah papua cuan mah papua banjir pindah mana yaa
Apakah sesuai Regulasi enggak .. profil S4S dan big size,sesuai regulasi profil big size
"Kalian tahu .. 
Di Papua sekarang sudah kebabat hutannya .. dikirim kemana? Jawa ... Gw udah pernah Komen ada Gudang di pulau Jawa punya EMKL dia simpan 48 sampe jadi 41 kontainer stok eksport terbanyak ke India dll...",papua babat hutan kirim mana jawa komen gudang pulau jawa emkl simpan sampe kontainer stok eksport india dll
Mamposs biar punah sekalian rakyatnya 🤦🏻,mamposs biar punah rakyat
"Anjir kok Kemarin aja gue dapet, Mimpi jir soal Papua akan ada daerah yang longsor, dan please mimpi ini jangan sampai kejadian sumpah 😢😢😢",anjir kemarin gue dapet mimpi jir papua daerah longsor please mimpi jadi sumpah
Ada banyak tambang aja ngga membuat Papua sejahtera apalagi sawit 😅,tambang papua sejahtera sawit
Kenapa ga tanam ganja bang sama sama pohon😂,tanam ganja pohon
Eropa dan negara2 yg pengimport minyak sawit dari indonesia mesti liat ini. Mungkin sawit indo bisa di banned lagi. Tanaman sawit merusak lingkungan dan ekosistem.,eropa negara pengimport minyak sawit indonesia mesti liat sawit indo banned tanam sawit rusak lingkung ekosistem
Emas di sana palah bisa memajukan papua,emas palah maju papua
"selow dia mah, ntar kalo di demo tinggal ngumpulin ormas agama.. agama seakan akan cuma di pake buat ngelindungin dia aja,, giliran bencana kenapa ga panggil tuh ormas ormas agama buat doa bersama.. aneh",selow mah ntar demo tinggal ngumpulin ormas agama agama akan pake ngelindungin gilir bencana panggil ormas ormas agama doa aneh
"Jika uda lansia ""jompo"" otaknya balik kek anak2
Makanya pola pikirnya kek gitu",uda lansia jompo otak anak pola pikir
"kok Prabowo beberapa bulan ini sering blunder ya 🤔


apakah karena ada antek-antek asing 👽",prabowo blunder antekantek asing
Suruh belajar IPA lagi di SD biar pinter dikit😂,suruh ajar ipa biar pinter dikit
"Maaf nih yaa kalo mau mempercepat pembangunan Papua itu kan caranya bukan cuma tanem sawit pak bro, Tuh plototin China mereka bisa kok merdeka ekonomi tanpa harus tanem sawit mulu, Lagiankan dipapua udah ada tambang Freeport masa iya masih belum maju juga masyarakat papua 😂😂😂",maaf yaa cepat bangun papua tanem sawit plototin china merdeka ekonomi tanem sawit mulu lagiankan dipapua tambang freeport iya maju masyarakat papua
Gak nyesal dulu milih anies ytta,nyesal milih anies ytta
MENTAL TUKANG KAYU TERNYATA LEBIH BERANI RESHUFFLE MENTERI KETIMBANG YANG NGAKU JENDRAL TAPI MENTAL TEMPE. CUMA BISA GEBRAK PODIUM.,mental tukang kayu berani reshuffle menteri ketimbang ngaku jendral mental tempe gebrak podium
Oiii bodo... Berhenti cari cuan pakai sawir... Papua x perlu itu semua... Dioeang perlu hutan saja bukan. Sawit bodo tu,oiii bodo henti cari cuan pakai sawir papua dioeang hutan sawit bodo
"Beratnya tanggung jawab Pak Prabowo dan para Pejabat  nanti di Yaumul Hisab.. 
Di Antriin Seluruh Masyarakat Indonesia yang menuntut Hak nya yang tak selesai di Dunia.. 
Sayangnya.. nanti nggak bisa dibayar dengan uang..",berat tanggung prabowo jabat yaumul hisab antriin masyarakat indonesia tuntut hak selesai dunia sayang nggak bayar uang
Tambah terus masalahnya anj,anj
"gausah ditanemin sawit juga udah berjalan swasembada pangan, papua mah udah mandiri dari dulu...lahannya dipake tapi ga dapet apa apa",gausah ditanemin sawit jalan swasembada pangan papua mah mandiri dululahannya dipake dapet
"Indonesia terlalu banyak memuja orang yang punya latar belakang militer, kaget ketika kelakuannya kayak militer trabas sana-sini",indonesia puja orang latar militer kaget laku militer trabas sanasini
Bapa persawitan NKRI,bapa sawit nkri
Apalah didikan al qaidah sama tali ban ini,dik qaidah tali ban
"Udah ga bener si Wowo.
NepaL kan aja si wowo",bener wowo nepal wowo
Presiden terburuk sepanjang sejarah orde baru,presiden buruk sejarah orde
Tolong belikan dia otak dan hati nurani,tolong belikan otak hati nurani
"""Hidup cuma sekali, malah jadi WNI."" 
Setiap hari kata-kata ini makna nya semakin dalem.
Sedih banget lahir di tempat yang banyak korupsi dan kebodohannya.",hidup wni katakata makna dalem sedih lahir korupsi bodoh
Kalau otak sdh dipenuhi cuan2 ... Engga bakal mikir Rakyat dan lingkungan cocok atau tidak ... Dan Papua bukan tanah kosong ...,otak sdh penuh cuan mikir rakyat lingkung cocok papua tanah kosong
"Bencana belummm clear, malah ngerencanain bisnis 😢",bencana belummm clear ngerencanain bisnis
EL BOWO KALO NGE GANJA BUKAN PAKE GANJA LAGI TAPI PAKE SAWIT ISEPIN SAWIT BIAR KEK KAYAK HARTO,bowo nge ganja pake ganja pake sawit isepin sawit biar harto
"Tito kan Udha punya 1,8jt hektar😢",tito udha hektar
Presiden GBLKKKKKKKK,presiden gblkkkkkkkk
hebat rakyat masih sabar BANGET 😂,hebat rakyat sabar
Lagi pembersihan rakyatkah? 😂😂😂,bersih rakyat
"yang untung pemerintah, yang rugi rakyat",untung perintah rugi rakyat
"SAUDARAKU SETANAH AIR...SAYA MENGETIK INI DENGAN TANGAN BERGEMETAR DIKARENAKAN SAYA MERASA MARAH AKAN PEJABAT KORUP YG MELAKUKAN INI SEMUA !! BAHKAN NYAWA KELUARGA KAMI MATI SIA SIA DAN BELUM TAU SIAPA YG HARUS BERTANGGUNG JAWAB UNTUK DIHUKUM MATI !! MARI SAUDARAKU SETANAH AIR CUKUP SUMATRA SAJA SAUDARAKU, KITA BERSATU BERPERANG MELAWAN PEJABAT KORUP PENGHIANAT NEGERI INI SAUDARAKU !!! DARAH MEREKA SUDAH HALAL UNTUK BERADA DIUJUNG TOMBAK BAMBU KITA SAUDARAKU !! DENDAM HARUS DIBALASKAN ,NYAWA HARUS DIBAYAR NYAWA !!! SAYA SUDAH CUKUP MUAK DENGAN PEJABAT KORUP NEGERI INI PARA PENGHIANATTTT MEREKA SEMUA !!!",saudara tanah airsaya etik tangan gemetar marah jabat korup nyawa keluarga mati sia sia tau tanggung hukum mati mari saudara tanah air sumatra saudara satu perang lawan jabat korup penghianat negeri saudara darah halal ujung tombak bambu saudara dendam balas nyawa bayar nyawa muak jabat korup negeri penghianatttt
Tanami sawit semua aja pak negara ini biar hancur 😂,tanam sawit negara biar hancur
Kalo mau liat mafia sawit ya orang ini😅,liat mafia sawit orang
"Nyebut kata sawit aja harusnya mikir dulu yak, kok ini wowo malah mau nanem lagi? Gak ngerti cara mikirnya gmana ? 😭",nyebut sawit mikir yak wowo nanem ngerti mikirnya gmana
BAKU C*KI DENGAN SAWIT!!! SUMATERA SUDAH JADI SAKSI BISU HASIL DARI SAWIT!!! HUTAN PAPUA BUKAN HUTAN SAWIT!!!,baku cki sawit sumatera saksi bisu hasil sawit hutan papua hutan sawit
Bismillah 2030 Indonesia bubar,bismillah indonesia bubar
Ditegor ALLAH lewat Sumatra malah nantangin di Papua,ditegor allah sumatra nantangin papua
wo Bowo,bowo
Ya Allah Pak...anda itu ya bener2 keterlaluan...,allah pakanda bener
"Tanam Sawit buat BBM, Tanam Singkong, Tebu, buat Etanol. 
Hasil dari jual BBM & Etanol masuk kas Negara apa buat Anggota & Pejabat ya....?",tanam sawit bbm tanam singkong tebu etanol hasil jual bbm etanol masuk kas negara anggota jabat
"Pak, jangan tone deaf, tolong",tone deaf tolong
"Mending kakek pensiun aja dan bertani sendiri di kebun sama cucu
Nanem kangkung kek apa kek",mending kakek pensiun tan kebun cucu nanem kangkung
Abis tu papua bakal jd seperti di sumatera utara dan aceh,abis papua sumatera utara aceh
Bbm  akan dimonopoli lagi pertamina😅 ujung ujungnya rugi,bbm monopoli pertamina ujung ujung rugi
Kalau seandainya terjadi... Tan memang bagus papua Merdeka,anda tan bagus papua merdeka
"Papua full tembang emas, tapi rakyat nya tetep wae miskin.",papua full tembang emas rakyat tetep wae miskin
"Berdiri dengan kaki sendiri?🤔🤔🤔
Pejabat mikir masyarakat bakalan ngijinin, kalau ada bilang papua mau ingin merdeka. Aku setuju ajalah",diri kaki jabat mikir masyarakat ngijinin bilang papua merdeka tuju
Sungai yang jernih di papua auto jadi keruh,sungai jernih papua auto keruh
Bukan nya evaluasi dari bencana sumatera malah mau bikin daerah lain bencana juga💔💔,evaluasi bencana sumatera daerah bencana
"Pantes dikit dikit sawit, dikit dikit sawit, sama sama monokotil sih... BERBIJI SATU...!!! AWOKWOKWOK NGAKAK SO HARD...!!!",pantes dikit dikit sawit dikit dikit sawit monokotil biji awokwokwok ngakak hard
"yang pada berkomentar bela in Jokowi pintar dikit lah pada sadar lah, mereka2 lah yang menghancurkan Indonesia ini,ada si tebang  kayu,ada si paling tanam sawit,",komentar bela jokowi pintar dikit sadar hancur indonesia iniada tebang kayuada tanam sawit
okee,okee
"Papua py emas... 
Tp mereka gk bs maju, knp?",papua emas maju knp
"Nah ini baru mantap bsa mengurangi angka pengangguran,soalnya nanti banjir pada mati ,KEREN bukannya kasih 19jt lapangan pekerjaan",mantap bsa kurang angka pengangguransoalnya banjir mati keren kasih lapang kerja
Baru tersadar gue jadi pemimpin tu harus punya ilmu dan adab,sadar gue pimpin ilmu adab
nyesal bgt coblos beliau,nyesal coblos beliau
"""how many times do we have to teach you this lesson, old man?""",many times teach lesson old man
Tutup aja Freeport....biar masyarakat saja yang menambang emas,tutup freeportbiar masyarakat tambang emas
Warga papua gk usah izinkan..menipu aja ngomong papua berdiri atas kaki sendiri padahal mau memeras kalian saat susah gk ada bantuan atau sedikit aja bantuannya  kayak sumatra..,warga papua izinkanmenipu ngomong papua diri kaki peras susah bantu bantu sumatra
BBM = Bowo Bahlil Mulyono,bbm bowo bahlil mulyono
Yang siapa angkat tangan,angkat tangan
This mf never learn 😔,never learn
Jadi bubar sesuai yg dia omongin,bubar sesuai omongin
Mungkin presiden tetlalu banyak bercanda sama mentri esdm😅,presiden tetlalu canda tri esdm
"next banjir siap"" Papua 😂",next banjir papua
Berisik ya netizen. Sawit juga pohon woy 😂😂,berisik netizen sawit pohon woy
Gak pantes banget ngomonginnsawit disaat Sumatra sedang berduka,pantes ngomonginnsawit saat sumatra duka
"anyim ga belajar dari kejadian kemaren kah apa gmna, ko ngotot pengen sawit sawit sawit, kocak, emang beneran mau bikin part2 anjr
masuk ke pelanggaran ham ga sih kalo gini?",anyim ajar jadi kemaren kah gmna ngotot ken sawit sawit sawit kocak beneran part anjr masuk langgar ham gin
hmm.. apa ini sudah di rencanakan dari masa jabatannya pak jokowi..🤔,rencana jabat jokowi
"Bencana kemaren aja belum kering, udah planing bencana baru 🤦‍♀️. 

Jika pernyataan tsbt keluar dr mulut seorang pemimpin , lantas kpd siapa lg rakyat mengadu & percaya? 
#Hanya tuhan yg pntas untuk kt berserah diri.",bencana kemaren kering planing bencana nyata tsbt mulut pimpin lantas kpd rakyat adu percaya tuhan pntas serah
Mantul Pak Prabowo 🔥🔥🔥,mantul prabowo
Ayo Papua lawan mereka💪💪,ayo papua lawan
"Yang bakal menikmatin hasilnya cuma dia ama genk nya doang, rakyat mah disuruh beli",menikmatin hasil ama genk doang rakyat mah suruh beli
"pingin ada bencana lagi, terus blokir lagi dukungan dari luar",pingin bencana blokir dukung
"Ayoookkkk RAKYAT LAWAN , NEPAL BISA MASA GAK BISA INDONESIA!!!! CEBURIN PARA PEJABAT KE SUNGAI KEK DI NEPAL 🤬😡🤬",ayoookkkk rakyat lawan nepal indonesia ceburin jabat sungai nepal
Yang gua takutkan itu jika hutan Indonesia sudah dirusak sudah itu saat dia udah jadi mantan presiden dia pindah negara sesudah merusak Indonesia,gua takut hutan indonesia rusak mantan presiden pindah negara rusak indonesia
Bj. Habibi emang jenius...  keputusan yg tepat ...,habibi jenius putus
Definisi menghancurkan bangsa sendiri demi kepentingan para mafia. 😂,definisi hancur bangsa penting mafia
"Bener dong..
Pemerataan bencana..😂😂",bener perata bencana
"bacot doang demi kesejahteraan rakyat papua, tambang emas aja mereka ga begitu merasakan, presiden kocak",bacot doang sejahtera rakyat papua tambang emas rasa presiden kocak
"PAPUA SUDAH KAYA, MEREKA LAH YANG MEMISKINKAN DAN BUAT PAPUA TIDAK BOLEH MAJU",papua kaya miskin papua maju
